policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle,seed
flat_mlp_search,0.9117063492063492,199.82838461088613,64.16666666666667,263.9950512775528,0.803124744225728,0.7399063534211302,0.0017692961663332068,0.30830198727499697,1.0,1.2916666666666667,1.8333333333333333,0.9166666666666666,0.9166666666666666,0.602177546240629,0.012882618898336935,13
attn_ml_gcn_stable_search,0.5446428571428571,207.05673195891043,32.083333333333336,239.14006529224378,0.7960032197449158,0.764394024342617,0.038355561180963844,0.20719387020247346,1.0,1.3333333333333333,0.9166666666666666,0.4583333333333333,0.4583333333333333,0.6363768113039858,-0.08247971147736849,13
ml_gcn_stable_search,0.5446428571428571,207.05673195891043,32.083333333333336,239.14006529224378,0.7960032197449158,0.764394024342617,0.038355561180963844,0.20719387020247346,1.0,1.3333333333333333,0.9166666666666666,0.4583333333333333,0.4583333333333333,0.6363768113039858,-0.08247971147736849,13
agg_gcn_pruned,0.4503968253968254,207.09170720453918,58.333333333333336,265.4250405378725,0.7959687613748382,0.738497497007022,0.03790419550315078,0.32032014214140725,1.0,1.3333333333333333,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.6358111367813816,0.01836912805818599,13
agg_gcn_stable_search,0.5446428571428571,207.23833484013105,32.083333333333336,239.32166817346436,0.7958243006501172,0.7642151052478184,0.03907624551867891,0.2079145545401885,1.0,1.3333333333333333,0.9166666666666666,0.4583333333333333,0.4583333333333333,0.6367722254301001,-0.0817829468939415,13
ml_gcn_pruned,0.40079365079365076,207.4566214714979,52.5,259.9566214714979,0.7956092399295587,0.7438851019985243,0.04047589016720385,0.3037376239719171,1.0,1.3333333333333333,1.5,0.75,0.75,0.6443881986809621,-0.0026118206314915474,13
attn_ml_gcn_pruned,0.44047619047619047,207.5264442591443,52.5,260.0264442591443,0.7955404490057693,0.7438163110747347,0.04070719933834895,0.3053071705730536,1.0,1.3333333333333333,1.5,0.75,0.75,0.645526124883179,-0.0023439281552204635,13
flat_mlp_stable_search,0.5317460317460317,207.71784559566717,32.083333333333336,239.80117892900049,0.7953518762604265,0.7637426808581277,0.04094223657280822,0.2097805455943178,1.0,1.3333333333333333,0.9166666666666666,0.4583333333333333,0.4583333333333333,0.6418625841576622,-0.0799431847184501,13
agg_gcn_stable,0.3968253968253968,207.9559738790979,46.666666666666664,254.6226405457646,0.7951172671141893,0.7491402556199365,0.041716237338460006,0.28238046355145213,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.645916395136252,-0.02307696398575224,13
ml_gcn_stable,0.39980158730158727,208.00741543739966,49.583333333333336,257.590748770733,0.7950665857759609,0.7462160110633173,0.04305923594308687,0.3011201306623179,1.0,1.3333333333333333,1.4166666666666667,0.7083333333333334,0.7083333333333334,0.6514982645252042,-0.011689079184385446,13
attn_ml_gcn_stable,0.3968253968253968,208.61142726309797,46.666666666666664,255.27809392976462,0.7944715002334011,0.7484944887391481,0.045618176382295095,0.2876869503094443,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6578337293907986,-0.020562154193148472,13
flat_mlp_pruned,0.4285714285714286,210.55178818491837,64.16666666666667,274.718454851585,0.7925598145961396,0.7293414237915418,0.05715942535728225,0.37677308790113706,1.0,1.375,1.8333333333333333,0.9166666666666666,0.9166666666666666,0.6223656371435313,0.0540256215531487,13
flat_mlp_stable,0.4375,213.44284819046615,46.666666666666664,260.1095148571328,0.7897114796153043,0.7437344681210515,0.0713342105397659,0.3123213437095925,1.0,1.375,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6503846493394068,-0.0020252071623954693,13
ml_gcn,0.34920634920634924,219.08779470216209,71.45833333333333,290.5461280354954,0.784149955958461,0.7137476571078863,0.10545597020799853,0.4650454121776176,1.0,1.4583333333333333,2.0416666666666665,1.0,1.0416666666666667,0.6096767670029507,0.1147524230140263,13
attn_ml_gcn,0.3888888888888889,219.15761748980847,74.375,293.5326174898085,0.7840811650346714,0.710805302965706,0.10568727937914364,0.4778885120012902,1.0,1.4583333333333333,2.125,1.0416666666666667,1.0833333333333333,0.6108146932051676,0.12621083196964183,13
agg_gcn,0.32341269841269843,220.26961581536864,68.54166666666667,288.8112824820353,0.7829856001819029,0.7154568645497189,0.10920356800920998,0.443208283552375,1.0,1.4583333333333333,1.9583333333333333,0.9583333333333334,1.0,0.6171694045265989,0.10809625692655912,13
greedy_sleep,0.3253968253968254,225.15168309058893,91.875,317.02668309058896,0.7781756816841489,0.6876584403048386,0.14392704541371026,0.6086619481431188,1.0,1.5833333333333333,2.625,1.3333333333333333,1.2916666666666667,0.5269556894088728,0.216351653091584,13
load_sleep,0.3253968253968254,225.15168309058893,91.875,317.02668309058896,0.7781756816841489,0.6876584403048386,0.14392704541371026,0.6086619481431188,1.0,1.5833333333333333,2.625,1.3333333333333333,1.2916666666666667,0.5269556894088728,0.216351653091584,13
flat_mlp,0.25595238095238093,231.58032244213078,87.5,319.0803224421308,0.7718420468550437,0.6856351503033195,0.17340914144203315,0.6131347226774108,1.0,1.5833333333333333,2.5,1.25,1.25,0.5844531150801637,0.22423095080794714,13
rsrp_sleep,0.3244047619047619,243.71332884614807,100.625,344.33832884614804,0.7598883459643861,0.6607504149299034,0.2453643177368662,0.7583760123536227,1.0,1.8333333333333333,2.875,1.4583333333333333,1.4166666666666667,0.4527330509961931,0.32113956917350384,13
sinr_sleep,0.3244047619047619,243.71332884614807,100.625,344.33832884614804,0.7598883459643861,0.6607504149299034,0.2453643177368662,0.7583760123536227,1.0,1.8333333333333333,2.875,1.4583333333333333,1.4166666666666667,0.4527330509961931,0.32113956917350384,13
rsrp,0.1884920634920635,688.8305852513444,2.9166666666666665,691.747251918011,0.32134917709227157,0.3184756138738808,2.5466117927760816,2.56295652420086,1.0,6.958333333333333,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.2190424357847026,1.654060236158748,13
sinr,0.1884920634920635,688.8305852513444,2.9166666666666665,691.747251918011,0.32134917709227157,0.3184756138738808,2.5466117927760816,2.56295652420086,1.0,6.958333333333333,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.2190424357847026,1.654060236158748,13
load_aware,0.1884920634920635,698.107962712398,0.0,698.107962712398,0.3122089037316276,0.3122089037316276,2.594824575549846,2.594824575549846,1.0,7.0,0.0,0.0,0.0,0.21328028505313246,1.6784646838038675,13
flat_mlp_search,0.8988095238095238,199.37015832665284,68.54166666666667,267.9118249933195,0.8035761986929528,0.736047463060769,-0.0002557195127419395,0.3538595337412916,1.0,1.2916666666666667,1.9583333333333333,1.0,0.9583333333333334,0.5881023374411719,-0.011020495571657676,17
oracle,1.0,199.43891356985705,71.45833333333333,270.89724690319036,0.8035084595370866,0.7331061606865119,0.0,0.3650488185839785,1.0,1.2916666666666667,2.0416666666666665,1.0416666666666667,1.0,0.586556648219743,0.0,17
agg_gcn_search,0.8998015873015873,199.65366055300896,71.45833333333333,271.1119938863423,0.803296886154671,0.7328945873040963,0.0008305014099159146,0.3658793199938944,1.0,1.2916666666666667,2.0416666666666665,1.0416666666666667,1.0,0.5901474013319518,0.0007927248637882377,17
attn_ml_gcn_search,0.8849206349206349,199.69731179781138,71.45833333333333,271.1556451311447,0.8032538800021563,0.7328515811515816,0.0009947651583379774,0.36604358374231655,1.0,1.2916666666666667,2.0416666666666665,1.0416666666666667,1.0,0.591916274055548,0.0009538606645444188,17
ml_gcn_search,0.8849206349206349,199.69731179781138,71.45833333333333,271.1556451311447,0.8032538800021563,0.7328515811515816,0.0009947651583379774,0.36604358374231655,1.0,1.2916666666666667,2.0416666666666665,1.0416666666666667,1.0,0.591916274055548,0.0009538606645444188,17
flat_mlp_pruned,0.5466269841269841,212.16052955577996,36.458333333333336,248.6188628891133,0.7909748477282955,0.7550553074984104,0.06575035853716384,0.25246413072494384,1.0,1.4166666666666667,1.0416666666666667,0.5416666666666666,0.5,0.5756988005016309,-0.08223924114680506,17
flat_mlp_stable_search,0.5704365079365079,214.21378738160374,30.625,244.83878738160374,0.7889519336141836,0.75877951982108,0.08010196469753633,0.2388775837822433,1.0,1.4583333333333333,0.875,0.4583333333333333,0.4166666666666667,0.5501887269835362,-0.09619315005773776,17
attn_ml_gcn_stable_search,0.5555555555555556,214.4938966504926,30.625,245.11889665049253,0.7886759638911403,0.7585035500980369,0.08226034470407564,0.2410359637887826,1.0,1.4583333333333333,0.875,0.4583333333333333,0.4166666666666667,0.5533196147173712,-0.09515914446303013,17
ml_gcn_stable_search,0.5555555555555556,214.4938966504926,30.625,245.11889665049253,0.7886759638911403,0.7585035500980369,0.08226034470407564,0.2410359637887826,1.0,1.4583333333333333,0.875,0.4583333333333333,0.4166666666666667,0.5533196147173712,-0.09515914446303013,17
agg_gcn_stable_search,0.5565476190476191,214.56443445977868,30.625,245.18943445977868,0.7886064685125334,0.7584340547194298,0.08187400402746416,0.2406496231121711,1.0,1.4583333333333333,0.875,0.4583333333333333,0.4166666666666667,0.5545146541331554,-0.09489875861528706,17
agg_gcn_pruned,0.4871031746031746,215.19728719347668,48.125,263.3222871934767,0.787982968282289,0.7405691751788407,0.08183596835108595,0.32540623414718167,1.0,1.4583333333333333,1.375,0.7083333333333334,0.6666666666666666,0.5501207170848421,-0.02796248317879986,17
flat_mlp_stable,0.4672619047619047,216.66384885486187,39.375,256.0388488548619,0.7865380799459488,0.747744976497673,0.09008777737605071,0.2859728209405132,1.0,1.4583333333333333,1.125,0.5833333333333334,0.5416666666666666,0.5729195065042999,-0.054848833711618944,17
attn_ml_gcn_pruned,0.4880952380952381,217.62493705446494,33.541666666666664,251.16660372113162,0.7855911950202316,0.7525452180087373,0.09513675032882336,0.26797428031345305,1.0,1.4583333333333333,0.9583333333333334,0.5,0.4583333333333333,0.5807757599913552,-0.07283441750557847,17
ml_gcn_pruned,0.4880952380952381,217.62493705446494,33.541666666666664,251.16660372113162,0.7855911950202316,0.7525452180087373,0.09513675032882336,0.26797428031345305,1.0,1.4583333333333333,0.9583333333333334,0.5,0.4583333333333333,0.5807757599913552,-0.07283441750557847,17
agg_gcn_stable,0.40178571428571425,220.0889440250438,33.541666666666664,253.63061069171044,0.7831636019457697,0.7501176249342754,0.10932567424953388,0.2757144766816388,1.0,1.5,0.9583333333333334,0.5,0.4583333333333333,0.5545042780058314,-0.06373869210140197,17
attn_ml_gcn_stable,0.4255952380952381,220.28709599716726,36.458333333333336,256.7454293305006,0.7829683783279141,0.747048838098029,0.10952497021478308,0.2892111603662056,1.0,1.5,1.0416666666666667,0.5416666666666666,0.5,0.5572754121796548,-0.05224053671445082,17
ml_gcn_stable,0.4255952380952381,220.28709599716726,36.458333333333336,256.7454293305006,0.7829683783279141,0.747048838098029,0.10952497021478308,0.2892111603662056,1.0,1.5,1.0416666666666667,0.5416666666666666,0.5,0.5572754121796548,-0.05224053671445082,17
flat_mlp,0.46329365079365076,224.13628072112542,51.041666666666664,275.1779473877921,0.7791760781072656,0.7288887217854265,0.13037918376387533,0.3811166424686922,1.0,1.5416666666666667,1.4583333333333333,0.75,0.7083333333333334,0.5537340447776499,0.01580193425196192,17
agg_gcn,0.44841269841269843,227.6677069460425,51.041666666666664,278.70937361270916,0.7756968404472487,0.7254094841254096,0.14826252930033804,0.405525212198439,1.0,1.5833333333333333,1.4583333333333333,0.75,0.7083333333333334,0.5335482484242536,0.028837970111636413,17
attn_ml_gcn,0.4047619047619047,229.01901668348148,42.291666666666664,271.31068335014817,0.7743655008044518,0.732698834137785,0.15653393862720144,0.3657881256356239,1.0,1.5833333333333333,1.2083333333333333,0.625,0.5833333333333334,0.5531752733210473,0.0015261744136718803,17
ml_gcn,0.4047619047619047,229.01901668348148,42.291666666666664,271.31068335014817,0.7743655008044518,0.732698834137785,0.15653393862720144,0.3657881256356239,1.0,1.5833333333333333,1.2083333333333333,0.625,0.5833333333333334,0.5531752733210473,0.0015261744136718803,17
rsrp_sleep,0.2390873015873016,238.35280399002124,90.41666666666667,328.76947065668793,0.7651696512413584,0.6760891914712435,0.22204856139770987,0.6772070600518232,1.0,1.7916666666666667,2.5833333333333335,1.2916666666666667,1.2916666666666667,0.4184747492506085,0.21363164231114967,17
sinr_sleep,0.2390873015873016,238.35280399002124,90.41666666666667,328.76947065668793,0.7651696512413584,0.6760891914712435,0.22204856139770987,0.6772070600518232,1.0,1.7916666666666667,2.5833333333333335,1.2916666666666667,1.2916666666666667,0.4184747492506085,0.21363164231114967,17
greedy_sleep,0.19642857142857142,244.5866903506137,75.83333333333333,320.420023683947,0.7590278912801836,0.6843152476020227,0.2559629640745896,0.6328638473909927,1.0,1.875,2.1666666666666665,1.0833333333333333,1.0833333333333333,0.36502627609952837,0.18281018853784972,17
load_sleep,0.19642857142857142,244.5866903506137,75.83333333333333,320.420023683947,0.7590278912801836,0.6843152476020227,0.2559629640745896,0.6328638473909927,1.0,1.875,2.1666666666666665,1.0833333333333333,1.0833333333333333,0.36502627609952837,0.18281018853784972,17
rsrp,0.1884920634920635,686.2690127517009,0.0,686.2690127517009,0.32387289384068874,0.32387289384068874,2.5458020038673532,2.5458020038673532,1.0,7.0,0.0,0.0,0.0,0.20271559136270167,1.5333185205715676,17
sinr,0.1884920634920635,686.2690127517009,0.0,686.2690127517009,0.32387289384068874,0.32387289384068874,2.5458020038673532,2.5458020038673532,1.0,7.0,0.0,0.0,0.0,0.20271559136270167,1.5333185205715676,17
load_aware,0.1884920634920635,691.4399464338709,0.0,691.4399464338709,0.3187783778976641,0.3187783778976641,2.572139606301995,2.572139606301995,1.0,7.0,0.0,0.0,0.0,0.19895692352655525,1.5524066941919437,17
oracle,1.0,204.0503656479899,77.29166666666667,281.3420323146566,0.7989651569970543,0.7228157317096979,0.0,0.38891307464818636,1.0,1.375,2.2083333333333335,1.0833333333333333,1.125,0.536714099416785,0.0,19
attn_ml_gcn_search,0.8581349206349206,204.30871953741078,83.125,287.4337195374108,0.7987106211454081,0.7168140694212702,0.0010167693154203778,0.41657431221825786,1.0,1.375,2.375,1.1666666666666667,1.2083333333333333,0.5384566278664548,0.021652247169172342,19
ml_gcn_search,0.8581349206349206,204.30871953741078,83.125,287.4337195374108,0.7987106211454081,0.7168140694212702,0.0010167693154203778,0.41657431221825786,1.0,1.375,2.375,1.1666666666666667,1.2083333333333333,0.5384566278664548,0.021652247169172342,19
agg_gcn_search,0.8561507936507936,204.5927828820796,80.20833333333333,284.80111621541295,0.7984307557812024,0.7194077672754552,0.0021265233220547817,0.40171577639934974,1.0,1.375,2.2916666666666665,1.125,1.1666666666666667,0.5407759835313214,0.012294941755761792,19
flat_mlp_search,0.8859126984126985,204.62596056587392,83.125,287.7509605658739,0.798398068408006,0.7165015166838681,0.0022795233201548704,0.4178370662229924,1.0,1.375,2.375,1.1666666666666667,1.2083333333333333,0.5428136334846395,0.02277984629061577,19
agg_gcn_pruned,0.5625,214.1042678693407,56.875,270.97926786934073,0.789059834611487,0.7330253518528663,0.04625281140932871,0.3263382454252959,1.0,1.4166666666666667,1.625,0.7916666666666666,0.8333333333333334,0.5888061114858782,-0.03683333187031936,19
