policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,energy_gap_with_switching_vs_oracle,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load
flat_mlp,0.4530753968253968,225.6359388292879,59.0625,284.6984388292879,0.7776985824341992,0.7195089272617853,0.1382314716820784,0.4350420748856533,0.06863856046529639,1.0,1.55,1.6875,0.8375,0.85,0.556424480437065
flat_mlp_pruned,0.5235119047619048,215.7711868478663,53.520833333333336,269.2920201811996,0.78741754990358,0.7346876648461087,0.08675120963714894,0.35705118016633003,0.01062060239203257,1.0,1.4541666666666666,1.5291666666666666,0.7625,0.7666666666666667,0.570748383830819
flat_mlp_search,0.9048611111111111,199.0978742345556,70.14583333333334,269.2437075678889,0.8038444588822113,0.7347352634799124,0.00048078735001355025,0.3538718887986267,0.009009536487111485,1.0,1.2791666666666666,2.0041666666666664,1.0,1.0041666666666667,0.6122154882270819
flat_mlp_stable,0.47351190476190474,218.72358392520317,38.9375,257.6610839252032,0.7845087843101447,0.7461467153446274,0.10187807256719625,0.2995645858284322,-0.0328379086017782,1.0,1.4666666666666666,1.1125,0.5541666666666667,0.5583333333333333,0.5891673413490583
flat_mlp_stable_search,0.5253968253968254,213.8616155264098,29.020833333333332,242.88244885974314,0.7892989009592022,0.7607069469362137,0.07778036492911877,0.23025955950973423,-0.08878785953392462,1.0,1.4083333333333332,0.8291666666666666,0.4125,0.4166666666666667,0.6141978251210292
greedy_sleep,0.2841269841269841,234.2801767037542,87.64583333333334,321.9260100370875,0.7691820919174835,0.6828315172048398,0.19715720870958625,0.6479188463652557,0.20785910328572413,1.0,1.7208333333333332,2.504166666666667,1.2541666666666667,1.25,0.45418391395719865
load_aware,0.19226190476190474,693.3511001988248,0.0,693.3511001988248,0.316895467784409,0.316895467784409,2.5781385176339633,2.5781385176339633,1.603758715994593,1.0,7.0,0.0,0.0,0.0,0.2021638216691417
load_sleep,0.2841269841269841,234.2801767037542,87.64583333333334,321.9260100370875,0.7691820919174835,0.6828315172048398,0.19715720870958625,0.6479188463652557,0.20785910328572413,1.0,1.7208333333333332,2.504166666666667,1.2541666666666667,1.25,0.45418391395719865
ml_gcn,0.4669642857142858,224.73784595284002,56.729166666666664,281.46701261950665,0.7785834030021281,0.7226925984044269,0.1337518656873713,0.41856650437535564,0.05622483174579612,1.0,1.5333333333333334,1.6208333333333331,0.8041666666666666,0.8166666666666668,0.5661612478513656
ml_gcn_pruned,0.5152777777777777,216.35145399592858,53.8125,270.1639539959286,0.7868458581320901,0.7338286167527798,0.09020611746001946,0.36406260539191265,0.013733871799471848,1.0,1.4583333333333335,1.5375,0.7708333333333333,0.7666666666666667,0.5731199886967686
ml_gcn_search,0.8964285714285714,199.16416769318914,69.85416666666666,269.0183343598558,0.8037791451298629,0.7349573060494031,0.0007590245100030379,0.3519635515837187,0.008270524537549909,1.0,1.2791666666666666,1.9958333333333331,0.9958333333333333,1.0,0.6132344235899937
ml_gcn_stable,0.4801587301587301,217.51490559541622,39.375,256.8899055954162,0.7856996003986048,0.7469064969503288,0.0954661042083488,0.29591754245647023,-0.03548560116614487,1.0,1.4541666666666666,1.125,0.5625,0.5625,0.5934660037174685
ml_gcn_stable_search,0.5336309523809524,212.68829219442983,29.895833333333332,242.58412552776312,0.7904548845375075,0.7610008615490018,0.07163653027657754,0.2289444021069167,-0.0898786265496199,1.0,1.4,0.8541666666666666,0.425,0.4291666666666667,0.6121706369619365
oracle,1.0,198.97800507996442,67.8125,266.7905050799644,0.8039625565714636,0.7371522117438774,0.0,0.34371251615787957,3.1103200597236786e-17,1.0,1.2791666666666666,1.9375,0.9666666666666666,0.9708333333333334,0.6097588849201158
rsrp,0.19375,687.1139274453585,0.7291666666666666,687.8430941120253,0.32304046557107535,0.3223220747664777,2.5458609208573293,2.549709654845376,1.58296737716908,1.0,6.9875,0.020833333333333332,0.008333333333333333,0.0125,0.20657800290919037
rsrp_sleep,0.26656746031746026,235.2614055349577,88.22916666666666,323.49057220162433,0.7682153640049678,0.6812900766486459,0.20266059394830016,0.6565473416733478,0.2141538640522731,1.0,1.7416666666666667,2.520833333333333,1.2708333333333333,1.25,0.4538194308200918
sinr,0.19375,687.1139274453585,0.7291666666666666,687.8430941120253,0.32304046557107535,0.3223220747664777,2.5458609208573293,2.549709654845376,1.58296737716908,1.0,6.9875,0.020833333333333332,0.008333333333333333,0.0125,0.20657800290919037
sinr_sleep,0.26656746031746026,235.2614055349577,88.22916666666666,323.49057220162433,0.7682153640049678,0.6812900766486459,0.20266059394830016,0.6565473416733478,0.2141538640522731,1.0,1.7416666666666667,2.520833333333333,1.2708333333333333,1.25,0.4538194308200918
