policy,graph_id,hour,raw_assignment_accuracy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,mean_active_load
load_aware,10,10,0.32,0.32,746.6178349285489,0.0,746.6178349285489,0.2644159261787696,0.2644159261787696,1.3720107702114896,1.3720107702114896,1.0,7.0,0,0,0,0.39826726629282017,0.30290346734688
load_aware,11,11,0.16,0.16,850.2353191652729,0.0,850.2353191652729,0.16232973481253898,0.16232973481253898,1.7361304289001354,1.7361304289001354,1.0,7.0,0,0,0,0.616307747136491,0.5720397900396698
load_aware,12,12,0.36,0.36,845.5759296891113,0.0,845.5759296891113,0.16692026631614654,0.16692026631614654,1.8063232196114416,1.8063232196114416,1.0,7.0,0,0,0,0.6487996162121992,0.5599374797119775
load_aware,13,13,0.44,0.44,822.34700706116,0.0,822.34700706116,0.18980590437324144,0.18980590437324144,0.8556271473922659,0.8556271473922659,1.0,7.0,0,0,0,0.650199293338254,0.49960261574327236
load_aware,14,14,0.38,0.38,804.2459910840255,0.0,804.2459910840255,0.20763941765120641,0.20763941765120641,1.837902873470662,1.837902873470662,1.0,7.0,0,0,0,0.5453234946158991,0.4525869898286374
load_aware,15,15,0.38,0.38,788.9776060845336,0.0,788.9776060845336,0.22268216149307035,0.22268216149307035,1.8173414170026279,1.8173414170026279,1.0,7.0,0,0,0,0.4733694780758005,0.4129288469728146
load_aware,16,16,0.28,0.28,822.4695460263258,0.0,822.4695460263258,0.18968517632874304,0.18968517632874304,1.5627643410839347,1.5627643410839347,1.0,7.0,0,0,0,0.6076640539293425,0.49992089876967766
load_aware,17,17,0.52,0.52,848.9159531031319,0.0,848.9159531031319,0.16362960285405728,0.16362960285405728,0.9745334203551125,0.9745334203551125,1.0,7.0,0,0,0,0.6406774100562624,0.56861286520294
load_aware,18,18,0.52,0.52,790.7030668987393,0.0,790.7030668987393,0.22098220009976427,0.22098220009976427,0.9142454118773409,0.9142454118773409,1.0,7.0,0,0,0,0.5396540295734549,0.4174105633733487
load_aware,19,19,0.34,0.34,800.1036411589807,0.0,800.1036411589807,0.21172055058228498,0.21172055058228498,1.4525979839186045,1.4525979839186045,1.0,7.0,0,0,0,0.519146337769007,0.4418276393739758
rsrp_sleep,0,0,0.92,0.94,309.7291035815475,0.0,309.7291035815475,0.6948481738112833,0.6948481738112833,-0.008253383404723097,-0.008253383404723097,1.0,2.0,0,0,0,0.8181803954547588,0.8157191234686141
rsrp_sleep,1,1,0.36,0.4,537.6191138784917,140.0,677.6191138784917,0.4703259961788259,0.3323949616960673,0.2619343955094741,0.5905514606595351,1.0,4.0,4,3,1,0.715755932928252,0.6982686994476898
rsrp_sleep,2,2,0.96,0.98,421.0310208619163,105.0,526.0310208619163,0.5851911124513139,0.481742836589245,-0.012181363915466351,0.23416855247915708,1.0,3.0,3,1,2,0.7916447692148154,0.7214001264358565
rsrp_sleep,3,3,0.94,0.98,439.4644793499814,140.0,579.4644793499814,0.5670300696059297,0.42909903512317105,-0.007965266100148412,0.30806678944028104,1.0,3.0,4,2,2,0.8784399183602546,0.8331180566665536
rsrp_sleep,4,4,0.38,0.42,545.9459382713324,105.0,650.9459382713324,0.46212222830410604,0.3586739524420371,0.22960675511028475,0.46609300811802035,1.0,4.0,3,2,1,0.7822671718500481,0.7361179012333291
rsrp_sleep,5,5,0.78,0.74,445.4690901774619,105.0,550.4690901774619,0.5611141968694957,0.4576659210074267,0.36911983478064997,0.6918304017353615,1.0,3.0,3,1,2,0.9019815607446225,0.8695096374391632
rsrp_sleep,6,6,0.98,1.0,319.0402523242259,105.0,424.0402523242259,0.6856746282519942,0.5822263523899253,0.0,0.3291120767209441,1.0,2.0,3,1,2,0.9250651088576194,0.9003659302202355
rsrp_sleep,7,7,0.74,0.72,405.3952638115453,105.0,510.3952638115453,0.6005957992004479,0.497147523338379,0.2884004194184748,0.6221044759656869,1.0,3.0,3,2,1,0.6875046999531454,0.6266379624942141
rsrp_sleep,8,8,0.98,0.98,428.0300656493383,140.0,568.0300656493383,0.578295501823312,0.4403644673405534,-0.011642339615402151,0.31162951336513767,1.0,3.0,4,2,2,0.8927285750036702,0.7638185796929594
rsrp_sleep,9,9,1.0,1.0,323.01868800621617,175.0,498.01868800621617,0.6817549871859939,0.5093411940825456,0.0,0.5417643204489528,1.0,2.0,5,2,3,0.9366884027056337,0.9365335273292379
rsrp_sleep,10,10,0.98,1.0,314.7615703540756,140.0,454.7615703540756,0.689890078468891,0.5519590439861324,0.0,0.44478110794311343,1.0,2.0,4,2,2,0.8689180968724579,0.8614688214006871
rsrp_sleep,11,11,0.0,0.0,303.85271999054135,140.0,443.85271999054135,0.7006377142950332,0.5627066798122745,-0.022175797299965105,0.42835625119466847,1.0,2.0,4,2,2,0.7747632862133441,0.7622974544594666
rsrp_sleep,12,12,0.0,0.0,321.97000962737525,140.0,461.97000962737525,0.6827881678548027,0.5448571333720441,0.06856390101835932,0.5332001766631167,1.0,2.0,4,2,2,0.9289888790544342,0.927000087521593
rsrp_sleep,13,13,0.8,0.78,518.2067256368264,140.0,658.2067256368264,0.489451501835639,0.3515204673528804,0.16933418592892654,0.485244377617137,1.0,4.0,4,3,1,0.7177696417591842,0.6100305710764836
rsrp_sleep,14,14,0.98,1.0,283.39447364541377,140.0,423.39447364541377,0.7207936220242229,0.5828625875414642,0.0,0.494011044743129,1.0,2.0,4,1,3,0.5832879471592268,0.5763133967764889
rsrp_sleep,15,15,1.0,1.0,280.04330654533436,140.0,420.04330654533436,0.7240952644873553,0.5861642300045966,0.0,0.49992267884230374,1.0,2.0,4,2,2,0.5702888061635912,0.5458482413212213
rsrp_sleep,16,16,0.96,0.98,320.31270914602175,70.0,390.31270914602175,0.6844209762108161,0.6154554589694368,-0.001925368590924959,0.21619031088024337,1.0,2.0,2,1,1,0.940419516234578,0.9119337195092886
rsrp_sleep,17,17,0.48,0.5,441.89630002522154,105.0,546.8963000252215,0.5646341871672694,0.4611859113052005,0.027827324414844524,0.2720517477861173,1.0,3.0,3,2,1,0.8943204703720747,0.8478563637892216
rsrp_sleep,18,18,0.64,0.62,419.33683656559106,70.0,489.33683656559106,0.5868602595412896,0.5178947422999103,0.015189707781467188,0.18465557232777746,1.0,3.0,2,1,1,0.7522547368226126,0.7111323428217641
rsrp_sleep,19,19,0.26,0.26,395.1104180476666,210.0,605.1104180476666,0.6107286521697866,0.40383210044564866,0.21115186193283966,0.8548754373896938,1.0,3.0,6,3,3,0.6130710161428787,0.5643055639252519
