policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle
agg_gcn_stable,0.40178571428571425,220.0889440250438,33.541666666666664,253.63061069171044,0.7831636019457697,0.7501176249342754,0.10932567424953388,0.2757144766816388,1.0,1.5,0.9583333333333334,0.5,0.4583333333333333,0.5545042780058314,-0.06373869210140197
attn_ml_gcn_stable,0.4255952380952381,220.28709599716726,36.458333333333336,256.7454293305006,0.7829683783279141,0.747048838098029,0.10952497021478308,0.2892111603662056,1.0,1.5,1.0416666666666667,0.5416666666666666,0.5,0.5572754121796548,-0.05224053671445082
ml_gcn_stable,0.4255952380952381,220.28709599716726,36.458333333333336,256.7454293305006,0.7829683783279141,0.747048838098029,0.10952497021478308,0.2892111603662056,1.0,1.5,1.0416666666666667,0.5416666666666666,0.5,0.5572754121796548,-0.05224053671445082
flat_mlp,0.46329365079365076,224.13628072112542,51.041666666666664,275.1779473877921,0.7791760781072656,0.7288887217854265,0.13037918376387533,0.3811166424686922,1.0,1.5416666666666667,1.4583333333333333,0.75,0.7083333333333334,0.5537340447776499,0.01580193425196192
agg_gcn,0.44841269841269843,227.6677069460425,51.041666666666664,278.70937361270916,0.7756968404472487,0.7254094841254096,0.14826252930033804,0.405525212198439,1.0,1.5833333333333333,1.4583333333333333,0.75,0.7083333333333334,0.5335482484242536,0.028837970111636413
attn_ml_gcn,0.4047619047619047,229.01901668348148,42.291666666666664,271.31068335014817,0.7743655008044518,0.732698834137785,0.15653393862720144,0.3657881256356239,1.0,1.5833333333333333,1.2083333333333333,0.625,0.5833333333333334,0.5531752733210473,0.0015261744136718803
ml_gcn,0.4047619047619047,229.01901668348148,42.291666666666664,271.31068335014817,0.7743655008044518,0.732698834137785,0.15653393862720144,0.3657881256356239,1.0,1.5833333333333333,1.2083333333333333,0.625,0.5833333333333334,0.5531752733210473,0.0015261744136718803
rsrp_sleep,0.2390873015873016,238.35280399002124,90.41666666666667,328.76947065668793,0.7651696512413584,0.6760891914712435,0.22204856139770987,0.6772070600518232,1.0,1.7916666666666667,2.5833333333333335,1.2916666666666667,1.2916666666666667,0.4184747492506085,0.21363164231114967
sinr_sleep,0.2390873015873016,238.35280399002124,90.41666666666667,328.76947065668793,0.7651696512413584,0.6760891914712435,0.22204856139770987,0.6772070600518232,1.0,1.7916666666666667,2.5833333333333335,1.2916666666666667,1.2916666666666667,0.4184747492506085,0.21363164231114967
greedy_sleep,0.19642857142857142,244.5866903506137,75.83333333333333,320.420023683947,0.7590278912801836,0.6843152476020227,0.2559629640745896,0.6328638473909927,1.0,1.875,2.1666666666666665,1.0833333333333333,1.0833333333333333,0.36502627609952837,0.18281018853784972
load_sleep,0.19642857142857142,244.5866903506137,75.83333333333333,320.420023683947,0.7590278912801836,0.6843152476020227,0.2559629640745896,0.6328638473909927,1.0,1.875,2.1666666666666665,1.0833333333333333,1.0833333333333333,0.36502627609952837,0.18281018853784972
rsrp,0.1884920634920635,686.2690127517009,0.0,686.2690127517009,0.32387289384068874,0.32387289384068874,2.5458020038673532,2.5458020038673532,1.0,7.0,0.0,0.0,0.0,0.20271559136270167,1.5333185205715676
sinr,0.1884920634920635,686.2690127517009,0.0,686.2690127517009,0.32387289384068874,0.32387289384068874,2.5458020038673532,2.5458020038673532,1.0,7.0,0.0,0.0,0.0,0.20271559136270167,1.5333185205715676
load_aware,0.1884920634920635,691.4399464338709,0.0,691.4399464338709,0.3187783778976641,0.3187783778976641,2.572139606301995,2.572139606301995,1.0,7.0,0.0,0.0,0.0,0.19895692352655525,1.5524066941919437
