switching_cost_w,policy,energy_w_with_cost_mean,energy_w_with_cost_std,energy_saving_with_cost_vs_all_on_mean,energy_saving_with_cost_vs_all_on_std,energy_gap_with_cost_vs_oracle_mean,energy_gap_with_cost_vs_oracle_std,mean_switch_events,served_ratio
30,ml_gcn,570.0769767594152,29.80059633546026,0.43834780614835944,0.029360193433950996,0.20830312823846603,0.04023525868159253,2.9200000000000004,1.0
30,ml_gcn_pruned,508.5655437470449,25.002725581143483,0.49895020320488187,0.024633227173540374,0.0779702001918455,0.031471623514358164,2.8899999999999997,1.0
30,oracle,471.8291708355397,20.14046471340244,0.5351436740536555,0.019842822377736408,0.0,0.0,2.965,1.0
30,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.7676056409990969,0.05957388662147144,0.0,0.9954000000000001
30,rsrp_sleep,537.9217612191717,42.76579354950906,0.47002782145894423,0.042133786748284774,0.13948224835459483,0.06386885764525088,3.3099999999999996,0.9968
30,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.7676056409990969,0.05957388662147144,0.0,0.9954000000000001
30,sinr_sleep,537.9217612191717,42.76579354950906,0.47002782145894423,0.042133786748284774,0.13948224835459483,0.06386885764525088,3.3099999999999996,0.9968
35,agg_gcn,591.9234698122035,30.11703002591548,0.41682416767270586,0.02967195076444875,0.2166412461033918,0.04649684255263148,3.1350000000000002,1.0
35,agg_gcn_pruned,533.764236220582,26.053221783493452,0.474123905201397,0.025668198801471368,0.0968171828708916,0.02728370138058354,3.12,1.0
35,attn_ml_gcn,586.0554674884823,30.32013897363367,0.4226054507502638,0.029872058102102143,0.2044452066858185,0.043529167094729634,2.8950000000000005,1.0
35,attn_ml_gcn_pruned,524.6407411432314,28.051418709297913,0.48311257030223514,0.02763686572344622,0.07820000597668357,0.040180984943891274,2.935,1.0
35,flat_mlp,591.0253943399756,25.183847687236568,0.4177089710936201,0.02481167259826263,0.2149818439735764,0.038315890807745376,3.035,1.0
35,flat_mlp_pruned,526.8654509007929,27.59081950238686,0.4809207380287755,0.02718307340136638,0.08268027106217612,0.03602569778839039,2.985,1.0
35,greedy_sleep,523.7493802696712,26.81097641220579,0.4839907583550039,0.02641475508591704,0.07674798503932352,0.04731419400662305,3.285,1.0
35,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,0.7295693755748708,0.058382888451562316,0.0,0.9959
35,load_sleep,523.7493802696712,26.81097641220579,0.4839907583550039,0.02641475508591704,0.07674798503932352,0.04731419400662305,3.285,1.0
35,ml_gcn,584.6769767594152,30.3322026318291,0.42396356969515747,0.029883943479634578,0.20162746471434181,0.044225047698319905,2.9200000000000004,1.0
35,ml_gcn_pruned,523.015543747045,25.343890287343275,0.4847137500029114,0.024969350036791394,0.07495602491035439,0.03555501880887912,2.8899999999999997,1.0
35,oracle,486.6541708355397,20.55778591187769,0.5205377627236063,0.020253976267859797,0.0,0.0,2.965,1.0
35,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.713720727764588,0.057541474374199784,0.0,0.9954000000000001
35,rsrp_sleep,554.4717612191716,43.52446293915918,0.45372240273973236,0.04288124427503366,0.13893033057075915,0.06597235566982063,3.3099999999999996,0.9968
35,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.713720727764588,0.057541474374199784,0.0,0.9954000000000001
35,sinr_sleep,554.4717612191716,43.52446293915918,0.45372240273973236,0.04288124427503366,0.13893033057075915,0.06597235566982063,3.3099999999999996,0.9968
40,agg_gcn,607.5984698122036,31.23488321573497,0.40138081791901126,0.030773283956389137,0.2121048220919331,0.05196285247103624,3.1350000000000002,1.0
40,agg_gcn_pruned,549.364236220582,25.76182306961451,0.45875444707331836,0.025381106472526622,0.09561765983749175,0.028890332113435706,3.12,1.0
40,attn_ml_gcn,600.5304674884824,31.05206719571079,0.4083443670064214,0.03059316965094659,0.19785711172318726,0.04799999418950346,2.8950000000000005,1.0
40,attn_ml_gcn_pruned,539.3157411432314,28.800770601450818,0.46865444222341746,0.028375143449705233,0.07574039607566144,0.044471662397306023,2.935,1.0
40,flat_mlp,606.2003943399757,24.912648617421112,0.40275823217736395,0.024544481396474006,0.2094997165609301,0.04165631270647606,3.035,1.0
40,flat_mlp_pruned,541.7904509007928,28.064786814826814,0.4662163045312385,0.027650036270765333,0.08057983646900842,0.039880710117749,2.985,1.0
40,greedy_sleep,540.1743802696712,27.202484544846783,0.46780849234515154,0.0268004773840855,0.07785654820013094,0.0508279470380283,3.285,1.0
40,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,0.6784328714675525,0.05696297768824711,0.0,0.9959
40,load_sleep,540.1743802696712,27.202484544846783,0.46780849234515154,0.0268004773840855,0.07785654820013094,0.0508279470380283,3.285,1.0
40,ml_gcn,599.2769767594152,31.03337883890093,0.40957933324195556,0.030574757476749686,0.19536886622248678,0.04843688993565922,2.9200000000000004,1.0
40,ml_gcn_pruned,537.4655437470449,25.752784897453044,0.47047729680094097,0.02537220186941184,0.07214303041417233,0.03960725775721039,2.8899999999999997,1.0
40,oracle,501.47917083553966,21.07914645891755,0.5059318513935569,0.020767631979229116,0.0,0.0,2.965,1.0
40,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.6630507677295044,0.056082384238858606,0.0,0.9954000000000001
40,rsrp_sleep,571.0217612191716,44.310209324322194,0.43741698402052054,0.0436553786446524,0.13842805776434233,0.06812984297911608,3.3099999999999996,0.9968
40,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.6630507677295044,0.056082384238858606,0.0,0.9954000000000001
40,sinr_sleep,571.0217612191716,44.310209324322194,0.43741698402052054,0.0436553786446524,0.13842805776434233,0.06812984297911608,3.3099999999999996,0.9968
50,agg_gcn,638.9484698122035,33.72121429216358,0.37049411841162205,0.033222871223806474,0.20386486055554434,0.06220522959191443,3.1350000000000002,1.0
50,agg_gcn_pruned,580.564236220582,25.200671677766277,0.4280155308171607,0.024828247958390413,0.09345127809669432,0.0323948084992019,3.12,1.0
50,attn_ml_gcn,629.4804674884824,32.953631210433066,0.37982219951873664,0.032466631734416815,0.18584159886158894,0.056875288860872425,2.8950000000000005,1.0
50,attn_ml_gcn_pruned,568.6657411432313,30.54275383518677,0.4397381860657819,0.03009138308885396,0.07128927784768324,0.05266840277236488,2.935,1.0
50,flat_mlp,636.5503943399756,24.697610844049013,0.37285675434485166,0.024332621521230557,0.1994875324321473,0.048122978437212194,3.035,1.0
50,flat_mlp_pruned,571.6404509007929,29.144369986759305,0.4368074375361647,0.028713665011585517,0.07677783249482226,0.04705239228026905,2.985,1.0
50,greedy_sleep,573.0243802696712,28.207967264932563,0.4354439603254471,0.02779110075362815,0.07992679305309862,0.057509382283640526,3.285,1.0
50,load_aware,840.6924325488492,13.170260886199376,0.17173159354793185,0.012975626488866382,0.5847888357586797,0.05532369994908182,0.0,0.9959
50,load_sleep,573.0243802696712,28.207967264932563,0.4354439603254471,0.02779110075362815,0.07992679305309862,0.057509382283640526,3.285,1.0
50,ml_gcn,628.4769767594152,32.89848183142931,0.38081086033555156,0.03241229737086632,0.18395518448790774,0.05695135917558172,2.9200000000000004,1.0
50,ml_gcn_pruned,566.365543747045,26.760834070141954,0.4420043903970002,0.02636535376368666,0.06704534075604934,0.047364861999018903,2.8899999999999997,1.0
50,oracle,531.1291708355396,22.403503218149353,0.47672002873345837,0.02207241696369393,0.0,0.0,2.965,1.0
50,rsrp,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.5702615226717427,0.0543888033683015,0.0,0.9954000000000001
50,rsrp_sleep,604.1217612191716,45.95733024024859,0.4048061465820968,0.0452781578721661,0.13755040467759538,0.07248337217663232,3.3099999999999996,0.9968
50,sinr,832.9797520964296,12.125786113336211,0.17933029350105456,0.011946587303779515,0.5702615226717427,0.0543888033683015,0.0,0.9954000000000001
50,sinr_sleep,604.1217612191716,45.95733024024859,0.4048061465820968,0.0452781578721661,0.13755040467759538,0.07248337217663232,3.3099999999999996,0.9968
75,agg_gcn,717.3234698122035,41.022493255914554,0.2932773696431492,0.04041624951321632,0.18709350067127645,0.08385997171240185,3.1350000000000002,1.0
75,agg_gcn_pruned,658.564236220582,23.935601082801927,0.3511682401767666,0.0235818729879822,0.08909361488655632,0.04118033266031764,3.12,1.0
75,attn_ml_gcn,701.8554674884824,39.70053320124804,0.3085167807995249,0.03911382581403748,0.1611826824249424,0.07677010056245603,2.8950000000000005,1.0
75,attn_ml_gcn_pruned,642.0407411432313,36.01798024755346,0.3674475456716933,0.03548569482517582,0.06229739882960948,0.07036695471771906,2.935,1.0
75,flat_mlp,712.4253943399756,26.068680205030066,0.2981030597635709,0.025683428773428645,0.17888203920251672,0.06229678742581519,3.035,1.0
