policy,assignment_accuracy,energy_w,switching_penalty_w,energy_w_with_switching,energy_saving_vs_all_on,energy_saving_with_switching_vs_all_on,energy_gap_vs_oracle,energy_gap_with_switching_vs_oracle_static,served_ratio,active_bs,switch_events,activation_events,deactivation_events,max_load,energy_gap_with_switching_vs_oracle,seed
attn_ml_gcn,0.44299999999999995,487.2606946092743,82.25,569.5106946092743,0.5199402023553947,0.4389057195967741,0.2720195227477191,0.48520673430254513,1.0,3.4,2.35,1.2,1.15,0.8504925148865199,0.15562516125965578,19
flat_mlp,0.46699999999999997,496.0204812695218,89.25,585.2704812695217,0.5113098706704219,0.42337883618766325,0.294844833845448,0.5353560885674429,1.0,3.5,2.55,1.3,1.25,0.8446073913605824,0.18760420251920792,19
rsrp,0.41,848.3264688630312,0.0,848.3264688630312,0.1642103755044027,0.1642103755044027,1.2675480426220553,1.2675480426220553,0.986,7.0,0.0,0.0,0.0,0.6655372536338576,0.7213854307920667,19
sinr,0.41,848.3264688630312,0.0,848.3264688630312,0.1642103755044027,0.1642103755044027,1.2675480426220553,1.2675480426220553,0.986,7.0,0.0,0.0,0.0,0.6655372536338576,0.7213854307920667,19
load_aware,0.41200000000000003,855.7553154397656,0.0,855.7553154397656,0.15689131483766944,0.15689131483766944,1.2878118743608293,1.2878118743608293,0.986,7.0,0.0,0.0,0.0,0.6742629498822182,0.736459707894276,19
oracle,1.0,386.89069974339725,105.0,491.89069974339725,0.6188268968045347,0.5153786209424658,0.0,0.2787320270479665,1.0,2.6,3.0,1.5,1.5,0.8479674243246815,1.1556107665882137e-16,23
agg_gcn_pruned,0.484,422.0076562697201,113.75,535.75765626972,0.5842289100790936,0.4721599445618522,0.08513078886292234,0.382621382417778,1.0,2.85,3.25,1.6,1.65,0.877901557130633,0.08918029259184346,23
flat_mlp_pruned,0.52,423.16989303679986,103.25,526.4198930367999,0.5830838492248277,0.48135971129379324,0.08910222444828854,0.37167627099307665,1.0,2.85,2.95,1.45,1.5,0.8900530337871221,0.07019688176949755,23
greedy_sleep,0.501,426.0365784750059,119.0,545.0365784750059,0.5802595285960532,0.46301814928570845,0.09850681417568624,0.41298314571890227,1.0,2.9,3.4,1.7,1.7,0.8540655966236995,0.10804408125490698,23
load_sleep,0.501,426.0365784750059,119.0,545.0365784750059,0.5802595285960532,0.46301814928570845,0.09850681417568624,0.41298314571890227,1.0,2.9,3.4,1.7,1.7,0.8540655966236995,0.10804408125490698,23
ml_gcn_pruned,0.491,434.3902192251152,110.25,544.6402192251152,0.5720293406649111,0.4634086510097387,0.11441569331069397,0.40583599740744336,1.0,2.95,3.15,1.55,1.6,0.8800365208868751,0.10723829401376288,23
attn_ml_gcn_pruned,0.479,435.6028927512076,113.75,549.3528927512076,0.5708345884224555,0.45876562290521417,0.1171667035368138,0.41658625024219526,1.0,2.95,3.25,1.6,1.65,0.886112952497425,0.1168190271492966,23
ml_gcn,0.44699999999999995,475.5692466590226,115.5,591.0692466590226,0.5314588702866772,0.41766576683840134,0.24839667986997704,0.563005459245245,1.0,3.35,3.3,1.65,1.65,0.8208128479061851,0.20162720492044986,23
agg_gcn,0.489,477.8264960885297,119.0,596.8264960885297,0.5292349792231235,0.4119935999127787,0.24568071074828324,0.5719365281475265,1.0,3.4,3.4,1.7,1.7,0.8116580073612092,0.21333153157779552,23
flat_mlp,0.497,486.1533679867663,112.0,598.1533679867663,0.5210311645450579,0.410686336958851,0.27168659046900284,0.5857377070102564,1.0,3.45,3.2,1.6,1.6,0.8186201004786515,0.21602902494152207,23
attn_ml_gcn,0.446,486.2995437395031,112.0,598.2995437395032,0.5208871490251201,0.4105423214389131,0.2694573191660376,0.5765173350709084,1.0,3.45,3.2,1.6,1.6,0.8136861702853476,0.21632619614807902,23
rsrp_sleep,0.5349999999999999,449.79531022711546,101.5,551.2953102271155,0.5568519111062902,0.45685191110629014,0.15039063754338952,0.417592496068741,0.9949999999999999,3.15,2.9,1.45,1.45,0.8299294946529873,0.12076790741257694,23
sinr_sleep,0.5349999999999999,449.79531022711546,101.5,551.2953102271155,0.5568519111062902,0.45685191110629014,0.15039063754338952,0.417592496068741,0.9949999999999999,3.15,2.9,1.45,1.45,0.8299294946529873,0.12076790741257694,23
rsrp,0.399,833.3247906835946,0.0,833.3247906835946,0.17899035400631075,0.17899035400631075,1.2383425187452226,1.2383425187452226,0.9949999999999999,7.0,0.0,0.0,0.0,0.6570951989212006,0.6941259330951207,23
sinr,0.399,833.3247906835946,0.0,833.3247906835946,0.17899035400631075,0.17899035400631075,1.2383425187452226,1.2383425187452226,0.9949999999999999,7.0,0.0,0.0,0.0,0.6570951989212006,0.6941259330951207,23
load_aware,0.396,839.5197629709803,0.0,839.5197629709803,0.17288693303351693,0.17288693303351693,1.2550083429615388,1.2550083429615388,0.9949999999999999,7.0,0.0,0.0,0.0,0.6543493416503701,0.7067201380488175,23
