5.757583460888059390e-01,1.112613747515256657e+00,4.292594447864669233e-02,2.590125003173923343e-02,4.695893935303782803e-03,7.593333858706496171e-04,3.430907906016979203e-02
1.790515727125457035e+00,6.059614375461445414e-03,4.256316726228930730e-03,7.841262627943776722e-03,3.204118172352644622e-01,7.816026637764325298e-04,1.056579920767869440e-01
3.719544161086466016e-01,1.357949442293818199e-01,1.080896054556326757e-02,1.029800690058256009e-02,4.553309679345078631e-02,1.065874280929855367e+00,1.453254376713780313e-02
4.023785815929761464e-04,3.110346781135497863e-05,2.030072705525143821e-05,1.108310296932956771e-05,2.879293652444652019e-06,6.667611200462731861e-06,2.052308315967255112e+03
3.720118650000660554e-01,2.733986242274895062e-01,4.808768043066116021e-02,3.153345509066362087e-03,1.740694017026318168e-03,7.668784219349555897e-01,1.950840260598945761e-02
4.528263265879928917e-02,2.065757429131400980e-01,2.028273783938994601e+00,3.664761815551022869e-03,5.250204564226979877e-03,1.313411444619693239e-02,7.574085865977238374e-02
1.224733648478628645e-01,1.343548783648536753e-05,1.153523231748902408e-02,1.983979058573974094e-02,4.057890448861151689e-01,1.193152188722579554e+00,2.681691255166142665e-02
5.984951486467118137e-02,1.182654688557283409e-02,5.909175819619678569e-03,6.394748169732274688e-03,4.424272024800968497e-03,2.148485402974621206e+00,3.001908303673814782e-01
1.658666505616048781e+01,1.231618806562429392e-04,3.966846941852708239e-03,1.437971038744563512e-04,3.126797832431164881e-02,2.233583621614528003e-02,3.694550525440228224e-04
1.967378163053531970e-02,4.704861635021124512e-03,3.755407181898616389e-04,1.643111076697673003e-04,1.790164116214400258e-04,8.798685357257850573e-03,2.882584660963750167e+01
1.831720942613440997e-02,7.273070503119860846e-04,6.923006013568745731e-02,6.651254246853420538e-02,5.280824629090004052e+00,8.066026594291881777e-03,5.019263704848121212e-03
3.815720412141540823e-03,2.935618325167017595e-01,2.435549429014403078e+00,1.020912133418203880e-04,8.503706493748595593e-03,3.363328835994929163e-03,4.913957445380155720e-02
2.039413511883139962e-01,1.362938008859807537e-01,1.668292050280815841e+00,1.035932108014201228e-02,2.158872797681613345e-02,9.965841124339607643e-03,4.424588415036804362e-02
2.087111136446853366e-01,2.316804108115837028e-03,3.635149105448207824e-02,1.055956454438542391e-03,6.874085435897455687e-01,6.079594540716954931e-01,3.226307132847547397e-04
9.583650869403232547e-03,3.267005092041537929e-03,1.291752468112371766e+01,2.498252575972231999e-03,4.323657405713784291e-02,2.181074828218585587e-03,1.079686188468588666e-02
8.050182367399660865e-02,2.783025650062459500e-01,2.283396453857401143e-01,6.301770996760879262e-01,5.059159263552173019e-02,2.339019215130617654e-03,7.386069064130092177e-02
1.492009384601767838e-03,2.077269753822426693e-02,6.362295379130409323e-01,1.008716919179800525e-01,8.541279861397381712e-01,2.809014328635359506e-02,8.883071698596294724e-03
2.455383007913761531e-02,2.254790393327307796e-01,1.388934087450202970e+00,1.803161038701282526e-01,2.062693780079779063e-02,2.852865924572349152e-02,8.299865271263715287e-04
1.503078189899947036e-02,1.419184215250270413e-06,2.700318416463204016e-02,5.081676197759907865e+00,9.053688904228830714e-02,3.577357243101075140e-02,1.455441634322311717e-03
2.050236226723671073e-03,5.996189416795948742e-04,1.237323755828987140e-02,2.141613752473368534e-02,2.844526530401910759e-04,2.335785897987789639e+01,1.588640320272143979e-03
3.635650390259598762e-03,4.557046202751412201e-02,2.504057925776013604e+00,1.337587419326127236e-01,1.406454915722411478e-02,8.427085903561008784e-02,1.228391987644064480e-02
4.714605423762404518e-02,1.066849146286252782e-03,7.535920255176115252e-03,8.782252929580385697e-03,7.892889236191834357e+00,5.029354812015544851e-02,1.210474133503622679e-05
3.024577889708766378e-03,5.862305874625436175e+00,1.490797036798373408e-04,1.346462360253978434e-03,5.261745131755362660e-03,1.923544792918122992e-03,1.537673673172391675e-01
7.552624209189495730e-02,4.712508387343897209e-03,4.947241037068692698e-02,2.816161191772525649e-02,5.953790189245344866e-02,3.530697456595661976e-02,2.820069578911516217e+00
1.585185150487381043e-04,4.829480203407462113e+02,3.785128815473795386e-04,4.507647409818277040e-05,6.636360207074102876e-05,7.471773936571459123e-07,1.401875002159096379e-03
2.983156568395243027e-03,1.975297688433488158e-03,1.685184785087772419e-01,4.656212064747042412e+00,1.150624499919705203e-02,4.096162023968215413e-04,1.079067202373981335e-02
1.134320224164655361e-02,2.708949026168087221e-02,1.636643229911296073e-04,5.806053148005081536e-03,4.458412269204960893e-02,2.632777601316192762e+00,2.291555153036298753e-01
