policy,assignment_accuracy,energy_w,energy_saving_vs_all_on,energy_gap_vs_oracle,served_ratio,active_bs,max_load,qos_mbps,num_ues,shadowing_db
rsrp,0.6476190476190476,912.2451511653135,0.10123630427062709,0.4346810449638778,0.9511904761904763,7.0,0.8406033851604127,0.5,70,2.0
sinr,0.6476190476190476,912.2451511653135,0.10123630427062709,0.4346810449638778,0.9511904761904763,7.0,0.8406033851604127,0.5,70,2.0
oracle,1.0,658.2385889101296,0.35148907496538956,0.0,0.9833333333333334,4.583333333333333,0.9591334312985523,2.0,70,2.0
load_aware,0.6428571428571429,919.2637327036495,0.0943214456121681,0.4477242421477599,0.9642857142857143,7.0,0.8537770938184844,2.0,70,2.0
ml_gcn,0.6678571428571428,804.7467887470092,0.20714602093890724,0.24245933900242597,0.9511904761904763,5.833333333333333,0.9156709389889787,2.0,70,2.0
rsrp,0.6476190476190476,912.2451511653135,0.10123630427062709,0.4346810449638778,0.9511904761904763,7.0,0.8406033851604127,2.0,70,2.0
sinr,0.6476190476190476,912.2451511653135,0.10123630427062709,0.4346810449638778,0.9511904761904763,7.0,0.8406033851604127,2.0,70,2.0
oracle,1.0,657.8720887999297,0.35185015881780335,0.0,0.9833333333333334,4.583333333333333,0.9591334312985523,4.0,70,2.0
load_aware,0.6428571428571429,914.6029829280475,0.09891331731226853,0.4412942163544032,0.9642857142857143,7.0,0.8500899344039059,4.0,70,2.0
ml_gcn,0.6476190476190476,823.072116443835,0.18909151089277343,0.2671040692465272,0.9345238095238096,6.0,0.9202852261610669,4.0,70,2.0
rsrp,0.6464285714285715,908.8274162752537,0.10460353076329687,0.4306356605877222,0.9345238095238096,7.0,0.8369542580710636,4.0,70,2.0
sinr,0.6464285714285715,908.8274162752537,0.10460353076329687,0.4306356605877222,0.9345238095238096,7.0,0.8369542580710636,4.0,70,2.0
oracle,1.0,655.0497941773563,0.354630744652851,0.0,0.9833333333333334,4.583333333333333,0.9583320435225989,6.0,70,2.0
ml_gcn,0.6416666666666666,779.2153218834072,0.23230017548432783,0.20952571538906342,0.9738095238095238,5.666666666666667,0.946893599140563,6.0,70,2.0
load_aware,0.6535714285714286,910.1268317498293,0.10332331847307452,0.4395689156618717,0.9642857142857143,7.0,0.8682910035648955,6.0,70,2.0
rsrp,0.6583333333333333,901.8565826772398,0.11147134711601984,0.42609848831475977,0.9571428571428572,7.0,0.8493821010941263,6.0,70,2.0
sinr,0.6583333333333333,901.8565826772398,0.11147134711601984,0.42609848831475977,0.9571428571428572,7.0,0.8493821010941263,6.0,70,2.0
rsrp,0.6351851851851852,968.6613923652245,0.04565380062539459,0.6378446539854119,0.7574074074074074,7.0,0.9592429407364133,0.5,90,2.0
sinr,0.6351851851851852,968.6613923652245,0.04565380062539459,0.6378446539854119,0.7574074074074074,7.0,0.9592429407364133,0.5,90,2.0
oracle,1.0,662.5000305572862,0.347290610288388,0.0,0.7518518518518519,4.5,1.1394799741435588,0.5,90,2.0
ml_gcn,0.637962962962963,858.9768213505314,0.15371741738863892,0.46070719477211747,0.7453703703703703,6.0,0.9954924446882308,0.5,90,2.0
load_aware,0.65,980.5122556257903,0.03397807327508343,0.6563994627280404,0.637962962962963,7.0,0.9801727572144835,0.5,90,2.0
rsrp,0.6351851851851852,968.6613923652245,0.04565380062539459,0.6378446539854119,0.7574074074074074,7.0,0.9592429407364133,2.0,90,2.0
sinr,0.6351851851851852,968.6613923652245,0.04565380062539459,0.6378446539854119,0.7574074074074074,7.0,0.9592429407364133,2.0,90,2.0
oracle,1.0,662.5000305572862,0.347290610288388,0.0,0.7518518518518519,4.5,1.1394799741435588,2.0,90,2.0
ml_gcn,0.637962962962963,858.9768213505314,0.15371741738863892,0.46070719477211747,0.7453703703703703,6.0,0.9954924446882308,2.0,90,2.0
load_aware,0.65,980.5122556257903,0.03397807327508343,0.6563994627280404,0.637962962962963,7.0,0.9801727572144835,2.0,90,2.0
ml_gcn,0.6425925925925926,856.2171842026936,0.15643627172148422,0.4573430903176874,0.7851851851851852,6.0,0.9872105778243392,4.0,90,2.0
rsrp,0.6361111111111111,967.876848262862,0.04642675047993886,0.6365222214539984,0.7574074074074074,7.0,0.9607791458879551,4.0,90,2.0
sinr,0.6361111111111111,967.876848262862,0.04642675047993886,0.6365222214539984,0.7574074074074074,7.0,0.9607791458879551,4.0,90,2.0
oracle,1.0,662.5000305572862,0.347290610288388,0.0,0.7518518518518519,4.5,1.1394799741435588,4.0,90,2.0
load_aware,0.6509259259259259,978.8196033146929,0.035645711020007,0.6538590577431322,0.6638888888888889,7.0,0.977322687236572,4.0,90,2.0
oracle,1.0,697.9152244974115,0.3123987935986094,0.0,0.8083333333333332,4.833333333333333,1.1272484076296576,6.0,90,2.0
ml_gcn,0.6759259259259259,849.229345162311,0.1633208422046196,0.40274350874957593,0.8027777777777777,6.0,0.9797217700498141,6.0,90,2.0
rsrp,0.6814814814814815,952.1618577718106,0.061909499732206386,0.5643349370078968,0.762962962962963,7.0,0.9631865405906662,6.0,90,2.0
sinr,0.6814814814814815,952.1618577718106,0.061909499732206386,0.5643349370078968,0.762962962962963,7.0,0.9631865405906662,6.0,90,2.0
load_aware,0.7046296296296296,956.917684465443,0.05722395619168171,0.5704033758977191,0.762037037037037,7.0,0.9686290215089466,6.0,90,2.0
oracle,1.0,268.27250765834344,0.735692110681435,0.0,1.0,1.8333333333333333,0.6625407599123392,0.5,30,6.0
ml_gcn,0.34722222222222227,309.3560347160362,0.6952157293438067,0.1749408552155293,1.0,2.1666666666666665,0.6597454192247344,0.5,30,6.0
rsrp,0.2833333333333333,744.0329645785472,0.2669625964743378,1.8471528200675094,1.0,6.916666666666667,0.4781572504541454,0.5,30,6.0
sinr,0.2833333333333333,744.0329645785472,0.2669625964743378,1.8471528200675094,1.0,6.916666666666667,0.4781572504541454,0.5,30,6.0
load_aware,0.28055555555555556,762.2412643321369,0.2490233848944463,1.9143571715103873,1.0,7.0,0.47011519681897135,0.5,30,6.0
oracle,1.0,268.27250765834344,0.735692110681435,0.0,1.0,1.8333333333333333,0.6625407599123392,2.0,30,6.0
ml_gcn,0.34722222222222227,309.3560347160362,0.6952157293438067,0.1749408552155293,1.0,2.1666666666666665,0.6597454192247344,2.0,30,6.0
rsrp,0.2833333333333333,744.0329645785472,0.2669625964743378,1.8471528200675094,1.0,6.916666666666667,0.4781572504541454,2.0,30,6.0
sinr,0.2833333333333333,744.0329645785472,0.2669625964743378,1.8471528200675094,1.0,6.916666666666667,0.4781572504541454,2.0,30,6.0
load_aware,0.28055555555555556,762.2412643321369,0.2490233848944463,1.9143571715103873,1.0,7.0,0.47011519681897135,2.0,30,6.0
oracle,1.0,268.27250765834344,0.735692110681435,0.0,1.0,1.8333333333333333,0.6625407599123392,4.0,30,6.0
ml_gcn,0.34722222222222227,309.3560347160362,0.6952157293438067,0.1749408552155293,1.0,2.1666666666666665,0.6597454192247344,4.0,30,6.0
rsrp,0.2833333333333333,744.0329645785472,0.2669625964743378,1.8471528200675094,1.0,6.916666666666667,0.4781572504541454,4.0,30,6.0
sinr,0.2833333333333333,744.0329645785472,0.2669625964743378,1.8471528200675094,1.0,6.916666666666667,0.4781572504541454,4.0,30,6.0
load_aware,0.28055555555555556,757.9174492656565,0.25328330121610204,1.8967619941092309,1.0,7.0,0.47484100368247734,4.0,30,6.0
oracle,1.0,268.27250765834344,0.735692110681435,0.0,1.0,1.8333333333333333,0.6625407599123392,6.0,30,6.0
ml_gcn,0.29444444444444445,305.09898366987926,0.6994098683055378,0.1540337510236269,1.0,2.1666666666666665,0.6457334506865832,6.0,30,6.0
rsrp,0.2888888888888889,742.5088020058291,0.26846423447701573,1.8404891624862438,1.0,6.916666666666667,0.48024203925878334,6.0,30,6.0
sinr,0.2888888888888889,742.5088020058291,0.26846423447701573,1.8404891624862438,1.0,6.916666666666667,0.48024203925878334,6.0,30,6.0
load_aware,0.2888888888888889,751.9408504774584,0.25917157588427736,1.8742224340748315,1.0,7.0,0.48721082287727313,6.0,30,6.0
oracle,1.0,366.6578337402057,0.6387607549357579,0.0,1.0,2.5,0.7976061778719113,0.5,50,6.0
ml_gcn,0.5516666666666666,472.99083956059684,0.5339991728467026,0.3234423687838848,1.0,3.4166666666666665,0.7722184458488891,0.5,50,6.0
rsrp,0.4116666666666667,835.6534300947368,0.17669612798548107,1.3377099471483962,0.9833333333333334,7.0,0.6617269585718494,0.5,50,6.0
sinr,0.4116666666666667,835.6534300947368,0.17669612798548107,1.3377099471483962,0.9833333333333334,7.0,0.6617269585718494,0.5,50,6.0
load_aware,0.40166666666666667,847.6660032691408,0.16486108052301404,1.3655743969719385,0.9833333333333334,7.0,0.6592589262559114,0.5,50,6.0
oracle,1.0,366.6578337402057,0.6387607549357579,0.0,1.0,2.5,0.7976061778719113,2.0,50,6.0
ml_gcn,0.5516666666666666,472.99083956059684,0.5339991728467026,0.3234423687838848,1.0,3.4166666666666665,0.7722184458488891,2.0,50,6.0
rsrp,0.4116666666666667,835.6534300947368,0.17669612798548107,1.3377099471483962,0.9833333333333334,7.0,0.6617269585718494,2.0,50,6.0
sinr,0.4116666666666667,835.6534300947368,0.17669612798548107,1.3377099471483962,0.9833333333333334,7.0,0.6617269585718494,2.0,50,6.0
load_aware,0.40166666666666667,847.6660032691408,0.16486108052301404,1.3655743969719385,0.9833333333333334,7.0,0.6592589262559114,2.0,50,6.0
oracle,1.0,366.6578337402057,0.6387607549357579,0.0,1.0,2.5,0.7976061778719113,4.0,50,6.0
ml_gcn,0.5366666666666666,470.74758848038914,0.5362092724331141,0.3168438632649752,1.0,3.4166666666666665,0.7638756998935482,4.0,50,6.0
rsrp,0.41333333333333333,832.7206941830024,0.17958552297241148,1.329445612950684,0.9816666666666666,7.0,0.6641203154901812,4.0,50,6.0
sinr,0.41333333333333333,832.7206941830024,0.17958552297241148,1.329445612950684,0.9816666666666666,7.0,0.6641203154901812,4.0,50,6.0
load_aware,0.4033333333333333,844.900915227784,0.1675853051943015,1.3592689462558507,0.9816666666666666,7.0,0.6629163337635832,4.0,50,6.0
oracle,1.0,365.8359767139204,0.6395704662917041,0.0,1.0,2.5,0.7983706935824767,6.0,50,6.0
ml_gcn,0.5433333333333333,471.96659504068316,0.5350082807480955,0.31626107437578016,1.0,3.4166666666666665,0.7822424534965126,6.0,50,6.0
rsrp,0.42333333333333334,824.638830288925,0.18754795045426106,1.3141845493287903,0.9783333333333334,7.0,0.6857015589250738,6.0,50,6.0
sinr,0.42333333333333334,824.638830288925,0.18754795045426106,1.3141845493287903,0.9783333333333334,7.0,0.6857015589250738,6.0,50,6.0
load_aware,0.41500000000000004,827.7113433302933,0.18452084400956334,1.3214863297971469,0.9783333333333334,7.0,0.6936205989987553,6.0,50,6.0
ml_gcn,0.5642857142857143,732.6105090895413,0.2782162472024224,0.2671991457422775,0.9654761904761905,5.25,0.9172931455010286,0.5,70,6.0
rsrp,0.5511904761904761,904.4309273799358,0.10893504691631932,0.5873012993198868,0.9654761904761905,7.0,0.8149791249757373,0.5,70,6.0
sinr,0.5511904761904761,904.4309273799358,0.10893504691631932,0.5873012993198868,0.9654761904761905,7.0,0.8149791249757373,0.5,70,6.0
oracle,1.0,595.8509155102761,0.4129547630440629,0.0,0.9547619047619048,4.083333333333333,0.9557737065409692,0.5,70,6.0
load_aware,0.5583333333333333,923.1429573129711,0.0904995494453487,0.6194326796161707,0.9547619047619048,7.0,0.8263605598101691,0.5,70,6.0
ml_gcn,0.5642857142857143,732.6105090895413,0.2782162472024224,0.2671991457422775,0.9654761904761905,5.25,0.9172931455010286,2.0,70,6.0
rsrp,0.5511904761904761,904.4309273799358,0.10893504691631932,0.5873012993198868,0.9654761904761905,7.0,0.8149791249757373,2.0,70,6.0
sinr,0.5511904761904761,904.4309273799358,0.10893504691631932,0.5873012993198868,0.9654761904761905,7.0,0.8149791249757373,2.0,70,6.0
oracle,1.0,595.8509155102761,0.4129547630440629,0.0,0.9547619047619048,4.083333333333333,0.9557737065409692,2.0,70,6.0
load_aware,0.5583333333333333,923.1429573129711,0.0904995494453487,0.6194326796161707,0.9547619047619048,7.0,0.8263605598101691,2.0,70,6.0
oracle,1.0,572.3768477935581,0.43608192335610035,0.0,0.9702380952380952,3.9166666666666665,0.9577046510706236,4.0,70,6.0
ml_gcn,0.5988095238095238,703.9282388079358,0.3064746415685362,0.240117118869812,0.9654761904761905,5.0,0.9221388159511651,4.0,70,6.0
rsrp,0.5333333333333333,904.4309273799358,0.10893504691631932,0.6192134228334001,0.9654761904761905,7.0,0.8149791249757373,4.0,70,6.0
sinr,0.5333333333333333,904.4309273799358,0.10893504691631932,0.6192134228334001,0.9654761904761905,7.0,0.8149791249757373,4.0,70,6.0
load_aware,0.5297619047619048,917.5347620268243,0.09602486499820273,0.6411664852572795,0.9547619047619048,7.0,0.8269402456315568,4.0,70,6.0
ml_gcn,0.6047619047619047,703.060112237729,0.30732993868204034,0.2289365298915098,1.0,5.0,0.9181520605431076,6.0,70,6.0
rsrp,0.5630952380952381,900.0287127453722,0.11327220419175142,0.6014352666054718,1.0,7.0,0.8241506927321689,6.0,70,6.0
sinr,0.5630952380952381,900.0287127453722,0.11327220419175142,0.6014352666054718,1.0,7.0,0.8241506927321689,6.0,70,6.0
oracle,1.0,579.8948177078591,0.42867505644545895,0.0,0.9880952380952381,4.0,0.9542360091272798,6.0,70,6.0
load_aware,0.5666666666666667,907.2157059764112,0.10619142268333877,0.6141246491017888,0.9821428571428571,7.0,0.8290973194791705,6.0,70,6.0
rsrp,0.612037037037037,945.4925159462483,0.06848027985591297,0.6926130433636116,0.8685185185185186,7.0,0.9005802000449887,0.5,90,6.0
sinr,0.612037037037037,945.4925159462483,0.06848027985591297,0.6926130433636116,0.8685185185185186,7.0,0.9005802000449887,0.5,90,6.0
load_aware,0.6,955.8019725032347,0.05832317979976875,0.7118313205187098,0.8444444444444444,7.0,0.9120057042008912,0.5,90,6.0
ml_gcn,0.7129629629629629,817.4213689938448,0.19465874975975875,0.47264994865746107,0.8435185185185184,5.75,0.978904341173111,0.5,90,6.0
oracle,1.0,615.0735154281882,0.3940162409574501,0.0,0.8333333333333334,4.166666666666667,1.1886691078663782,0.5,90,6.0
rsrp,0.612037037037037,945.4925159462483,0.06848027985591297,0.6926130433636116,0.8685185185185186,7.0,0.9005802000449887,2.0,90,6.0
